interval_id,timing_scope,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,uncertain_price_calls,long_context_calls,unknown_tier_calls,different_reset_calls,missing_reset_calls
130,nominal,1,gpt-5.6-sol,max,714,12,4022945,101917184,316623,85875,80.572007,69.6567882769949,74.00422603095011,63.1911136,0,0,0,714,0,0
131,enclosing,1,gpt-5.6-sol,max,769,12,3133153,109532928,358219,109093,81.178799,70.18137719374081,73.56725188034926,63.5101632,0,0,0,769,0,0
131,interior,1,gpt-5.6-sol,max,704,12,2757977,99741696,326580,100152,73.458133,63.50664217169534,66.48707897466932,57.460186400000005,0,0,0,704,0,0
131,nominal,1,gpt-5.6-sol,max,743,12,2999577,105820416,344314,105591,78.237513,67.6385519149304,70.88007629463128,61.2127544,0,0,0,743,0,0
132,enclosing,1,gpt-5.6-sol,max,682,11,3589478,95867392,340570,86435,76.098186,65.78904296706146,69.66805005619435,59.5162688,0,0,0,682,0,0
132,interior,1,gpt-5.6-sol,max,604,11,3247156,84969216,295726,71555,67.592168,58.4353488372093,61.94442206276476,52.8908304,0,0,0,604,0,0
132,nominal,1,gpt-5.6-sol,max,640,11,3417607,89764608,315628,78521,71.439179,61.76119910089046,65.45447198927984,55.8888312,0,0,0,640,0,0
133,enclosing,1,gpt-5.6-sol,max,913,13,3742646,127029248,349170,90986,92.702954,80.14433647445318,84.18886617100371,72.7656832,0,0,0,913,0,0
133,interior,1,gpt-5.6-sol,max,808,13,3304596,110827776,309733,79649,81.228858,70.22465462090429,73.79580098556237,63.7441544,0,0,0,808,0,0
133,nominal,1,gpt-5.6-sol,max,857,13,3555638,118548480,326318,84075,86.84197,75.07734935592634,78.91978689374946,68.168304,0,0,0,857,0,0
134,enclosing,1,gpt-5.6-sol,max,1247,15,5878110,175224064,457648,131976,130.732022,113.02154577677877,119.37378706665513,102.7550256,0,0,0,1247,3,0
134,interior,1,gpt-5.6-sol,max,1081,15,5153638,153354752,400697,110277,114.466476,98.95951932220973,104.52885233854931,89.9703928,0,0,0,1081,3,0
134,nominal,1,gpt-5.6-sol,max,1172,15,5388549,167248640,427547,120826,123.393475,106.6771634823204,112.5003555373044,97.004592,0,0,0,1172,3,0
135,enclosing,1,gpt-5.6-sol,max,1270,14,4418586,173724928,489984,140773,123.654914,106.9031849226247,111.67817627734071,96.9639952,0,0,0,1270,1,0
135,interior,1,gpt-5.6-sol,max,1037,14,3700710,141511424,409868,118098,101.555302,87.79744272499352,91.79665384282873,79.6047696,0,0,0,1037,1,0
135,nominal,1,gpt-5.6-sol,max,1151,14,4127826,157356544,447661,129476,112.747232,97.47318405809631,101.93396256592028,88.4071416,0,0,0,1151,1,0
136,enclosing,0,gpt-5.6-sol,max,216,1,852850,29356928,73516,16746,21.148194,18.2832143165903,19.20485562375724,16.6244912,0,0,0,216,0,0
136,enclosing,1,gpt-5.6-sol,max,1140,15,5798191,161181440,555748,147446,126.254115,109.15026800380392,115.41614398720498,98.7803,0,0,0,1140,0,0
136,interior,0,gpt-5.6-sol,max,204,1,589145,27995776,69203,15408,19.019703,16.443073398461138,17.07973912855537,14.938950400000001,0,0,0,204,0,0
136,interior,1,gpt-5.6-sol,max,991,14,5018654,141062912,493639,130830,110.433896,95.47323938791389,100.89670052736231,86.3725608,0,0,0,991,0,0
136,nominal,0,gpt-5.6-sol,max,216,1,852850,29356928,73516,16746,21.148194,18.2832143165903,19.20485562375724,16.6244912,0,0,0,216,0,0
136,nominal,1,gpt-5.6-sol,max,1064,15,5488121,151061760,523530,138977,118.677385,102.599969741506,108.53076532376588,92.84778800000001,0,0,0,1064,0,0
137,enclosing,1,gpt-5.6-sol,max,1089,14,4879722,145835520,499180,141159,112.29177,97.07942422408576,102.35274703899023,87.836696,0,0,0,1089,0,0
137,interior,1,gpt-5.6-sol,max,972,14,4356348,128092672,458144,129355,99.572396,86.0831641739431,90.79089738047894,77.8253408,0,0,0,972,0,0
137,nominal,1,gpt-5.6-sol,max,1033,14,4749576,136691072,479142,135999,106.467676,92.04432955822598,97.17700873173683,83.2575728,0,0,0,1033,0,0
138,enclosing,1,gpt-5.6-sol,max,976,14,5772762,136504064,461892,118794,110.972602,95.93896602403389,102.17736189158813,86.9305136,0,0,0,976,0,0
