account,segment,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,different_reset_calls,missing_reset_calls
A03,15,1,gpt-5.6-luna,medium,1,1,39539,0,19,9,0.0079306,0.006800377293774653,0.00849558394786486,0.0079306,0,0,0
A03,15,1,gpt-5.6-sol,max,20641,71,68516559,2575880832,9128233,3278695,1486.9832288,1275.0670800891787,1333.8190600240098,1486.9832288,0,0,0
A03,16,0,gpt-5.6-sol,max,2723,5,7764901,380616704,1056393,322493,204.4341456,175.19422881138058,181.84852738023824,204.4341456,0,0,0
A03,16,1,gpt-5.5,medium,168,1,464901,24178688,24908,2583,15.161089,12.992620618733396,12.992620618733396,15.161089,0,0,0
A03,16,1,gpt-5.6-sol,max,24425,49,84666421,2986602752,10574163,3452894,1744.7900448,1495.2352770588739,1567.7919837175423,1744.7900448,0,0,0
A03,16,1,gpt-5.6-terra,high,23,1,408974,3451648,9572,1195,1.6231415999999999,1.3909860313651554,1.566225554889022,1.6231415999999999,0,0,0
A03,17,0,gpt-5.5,medium,2,1,177785,180992,16,0,0.9799009999999999,0.8416224340805635,0.8416224340805635,0.9799009999999999,0,0,0
A03,17,0,gpt-5.6-sol,max,66,1,272781,8594304,52435,21286,5.5775456000000005,4.790471184402646,5.024758739156575,5.5775456000000005,0,0,0
A03,17,1,gpt-5.5,medium,400,1,2879944,66841600,80563,9127,50.23741,43.14743646541723,43.14743646541723,50.23741,0,0,0
A03,17,1,gpt-5.6-sol,max,24659,53,82429198,3115028224,9694450,3131800,1769.6170816000001,1519.8978627501506,1590.695078244439,1769.6170816000001,0,0,0
A03,17,1,gpt-5.6-terra,high,29,2,515948,3526400,10183,1548,1.859372,1.5969870308339775,1.818557072919351,1.859372,0,0,0
A03,19,0,gpt-5.5,medium,5,1,210359,836480,837,170,1.495145,1.290030198446937,1.290030198446937,1.495145,0,0,0
A03,19,0,gpt-5.6-sol,max,537,10,1545809,73475328,189214,80247,39.3576472,33.99304890429933,35.328169715972294,39.3576472,0,0,0
A03,19,1,gpt-5.5,medium,1018,1,5643697,159507200,241180,33180,115.207485,99.40021227437495,99.40021227437495,115.207485,0,0,0
A03,19,1,gpt-5.6-sol,max,21078,79,71542854,2708997376,8259199,2858900,1534.9543464,1325.2259162036357,1386.9949049250677,1534.9543464,0,0,0
A03,19,1,gpt-5.6-sol,ultra,14,1,152532,2368000,9626,2239,1.749848,1.50979119930975,1.641397756686799,1.749848,0,0,0
A03,19,1,gpt-5.6-terra,high,100,3,789840,12198400,41370,13337,4.5158000000000005,3.8968570453826996,4.237684041510997,4.5158000000000005,0,0,0
A04,3,0,gpt-5.6-sol,max,55,1,87815,7575808,22324,2915,4.896699,4.284076115485564,4.38011176727909,3.8280632,0,0,0
A04,3,1,gpt-5.5,medium,77,1,291488,11380608,21740,2833,7.799944,6.824097987751531,6.824097987751531,7.799944,0,0,0
A04,3,1,gpt-5.6-sol,max,4118,35,12525043,484691712,1829681,632109,359.861501,314.83945844269465,328.5370120297463,280.5704768,0,0,0
A04,3,1,gpt-5.6-sol,ultra,96,2,246736,15894528,15881,2803,9.657374,8.449146106736658,8.718979877515311,7.6623752000000005,0,0,0
A04,6,0,gpt-5.6-sol,max,355,2,1379398,37903872,128988,38011,29.718566,25.80856795484151,27.30596048632219,23.2589008,0,0,0
A04,6,1,gpt-5.6-sol,max,23761,37,90291079,3257589760,10915652,2963735,2407.719835,2089.2807883021733,2187.2188524134385,1882.5132600000002,0,0,0
A04,6,1,gpt-5.6-sol,ultra,142,1,509525,15623680,69661,18083,12.449295,10.811372123317412,11.364482197134173,9.680792,0,0,0
A04,7,0,gpt-5.5,,19,3,118244,502912,8011,831,1.083006,0.9318585441404234,0.9318585441404234,1.083006,0,0,0
A04,7,0,gpt-5.6-sol,max,497,1,2007589,63371136,108306,26688,35.5449304,30.584176905868183,32.311580967131306,35.5449304,0,0,0
A04,7,0,gpt-6-astra,high,92,3,694252,11918976,40358,11445,20.879396,17.96540698674927,19.458807434176563,20.879396,0,0,0
